,Value (%),Level,Frequency (Hz),Voltage (V)
375,35.0,22936.0,325.0,1.9388252482509378
376,37.5,24575.0,325.0,2.0058658541678804
377,40.0,26213.0,325.0,2.0813393574363865
378,42.5,27851.0,325.0,2.151329813375599
379,45.0,29490.0,325.0,2.225788005659267
380,47.5,31128.0,325.0,2.2967213703737572
381,50.0,32767.0,325.0,2.3687614888636968
382,52.5,34405.0,325.0,2.440358393827789
383,55.0,36043.0,325.0,2.511208876012922
384,57.5,37682.0,325.0,2.5842194241179866
385,60.0,39320.0,325.0,2.6535741006546423
386,62.5,40958.0,325.0,2.721672738859971
387,65.0,42597.0,325.0,2.794124949925858
388,65.5,42924.0,325.0,2.8079234510226456
389,66.0,43252.0,325.0,2.821501145380977
390,66.5,43580.0,325.0,2.8348568329641735
391,67.0,43907.0,325.0,2.849475039076368
392,67.5,44235.0,325.0,2.862169026466105
393,68.0,44563.0,325.0,2.8796473198612453
394,68.5,44890.0,325.0,2.887869650786804
395,69.0,45218.0,325.0,2.902672902546135
396,69.5,45546.0,325.0,2.913472272116724
397,70.0,45873.0,325.0,2.9258053684929304
398,70.5,46201.0,325.0,2.9370838726854998
399,71.0,46529.0,325.0,2.948046847248929
400,71.5,46856.0,325.0,2.958333881184251
401,72.0,47184.0,325.0,2.962791457218689
402,72.5,47512.0,325.0,2.9704344104630547
403,73.0,47839.0,325.0,2.977375822298086
404,73.5,48167.0,325.0,2.9830307148716866
405,74.0,48495.0,325.0,2.988289595359944
406,74.5,48822.0,325.0,2.9934024713925234
407,75.0,49150.0,325.0,2.9976059596728155
408,75.5,49478.0,325.0,3.001642482857687
409,76.0,49805.0,325.0,3.004679135528971
410,76.5,50133.0,325.0,3.0076172251923454
411,77.0,50461.0,325.0,3.0097534503847863
412,77.5,50788.0,325.0,3.011762551697682
413,78.0,51116.0,325.0,3.013329159506733
414,78.5,51444.0,325.0,3.0144275130258333
415,79.0,51771.0,325.0,3.0151167340591467
416,79.5,52099.0,325.0,3.015579068168451
417,80.0,52427.0,325.0,3.0157852344601235
418,82.5,54065.0,325.0,3.0159271587912175
419,85.0,55703.0,325.0,3.015925718747312
420,87.5,57342.0,325.0,3.015894597797566
421,90.0,58980.0,325.0,3.015881077384969
422,92.5,60618.0,325.0,3.0158133153170708
423,95.0,62257.0,325.0,3.0157751541525264
424,97.5,63895.0,325.0,3.0157329928658654
425,100.0,65534.0,325.0,3.015667870878553
426,0.0,0.0,350.0,0.16418941066316772
427,0.05,32.0,350.0,0.1646142236274307
428,0.1,65.0,350.0,0.1649283932151242
429,0.15,98.0,350.0,0.16482062992645055
430,0.2,131.0,350.0,0.16475718799035555
431,0.21,137.0,350.0,0.16489671224829805
432,0.22,144.0,350.0,0.164919432941678
433,0.23,150.0,350.0,0.1639044419666125
434,0.24,157.0,350.0,0.16450262022156523
435,0.25,163.0,350.0,0.1649385535251931
436,0.26,170.0,350.0,0.16546416956572113
437,0.27,176.0,350.0,0.1771122850379968
438,0.28,183.0,350.0,0.17560567906002866
439,0.29,190.0,350.0,0.17646354524002786
440,0.3,196.0,350.0,0.1966925625806462
441,0.31,203.0,350.0,0.19698673155797078
442,0.32,209.0,350.0,0.22508646909390542
443,0.33,216.0,350.0,0.22517303173558678
444,0.34,222.0,350.0,0.2252148730124823
445,0.35,229.0,350.0,0.26319227199072126
446,0.36,235.0,350.0,0.2637738097378449
447,0.37,242.0,350.0,0.299925873011262
448,0.38,249.0,350.0,0.2976909248060549
449,0.39,255.0,350.0,0.3289604390758994
450,0.4,262.0,350.0,0.32728910807092254
451,0.41,268.0,350.0,0.32756583651600496
452,0.42,275.0,350.0,0.3602686745274222
453,0.43,281.0,350.0,0.35849734047059256
454,0.44,288.0,350.0,0.39214164721335487
455,0.45,294.0,350.0,0.39288478989226766
456,0.46,301.0,350.0,0.3941042671077612
457,0.47,308.0,350.0,0.4263768519888854
458,0.48,314.0,350.0,0.4276157697976591
459,0.49,321.0,350.0,0.4629390877797785
460,0.5,327.0,350.0,0.46437753167760054
461,0.55,360.0,350.0,0.5270704849146958
462,0.6,393.0,350.0,0.5738059111667209
463,0.65,425.0,350.0,0.6142923467146809
464,0.7,458.0,350.0,0.6544860533292612
465,0.75,491.0,350.0,0.6862756634711737
466,0.8,524.0,350.0,0.7168431563170276
467,0.85,557.0,350.0,0.7491410219696628
468,0.9,589.0,350.0,0.776765465000759
469,0.95,622.0,350.0,0.8021922409643834
470,1.0,655.0,350.0,0.8360497542136883
471,1.05,688.0,350.0,0.8607849090707083
472,1.1,720.0,350.0,0.8842317846125677
473,1.15,753.0,350.0,0.9017367988232017
474,1.2,786.0,350.0,0.9223569481002136
475,1.25,819.0,350.0,0.9433248679903545
476,1.3,851.0,350.0,0.964397351071499
477,1.35,884.0,350.0,0.9808248123978244
478,1.4,917.0,350.0,0.9992877758427555
479,1.45,950.0,350.0,1.0129492327573413
480,1.5,983.0,350.0,1.0207358703866578
481,1.55,1015.0,350.0,1.030997623550522
482,1.6,1048.0,350.0,1.0377735103341694
483,1.65,1081.0,350.0,1.0482685506173808
484,1.7,1114.0,350.0,1.0496367523715822
485,1.75,1146.0,350.0,1.05365239491928
486,1.8,1179.0,350.0,1.0576643573546485
487,1.85,1212.0,350.0,1.061991609411903
488,1.9,1245.0,350.0,1.0677504251570076
489,1.95,1277.0,350.0,1.0661258955802944
490,2.0,1310.0,350.0,1.0710757266371638
491,2.05,1343.0,350.0,1.074726158039487
492,2.1,1376.0,350.0,1.0801428833448226
493,2.15,1408.0,350.0,1.08111771309427
494,2.2,1441.0,350.0,1.0792892572942188
495,2.25,1474.0,350.0,1.0833590614947837
496,2.5,1638.0,350.0,1.0894912486342927
497,3.0,1966.0,350.0,1.1097884280550472
498,3.5,2293.0,350.0,1.1270727955320712
499,4.0,2621.0,350.0,1.140218796716195
500,4.5,2949.0,350.0,1.1568517843146997
501,5.0,3276.0,350.0,1.1672944229987332
502,5.5,3604.0,350.0,1.18277393539596
503,6.0,3932.0,350.0,1.1962275459675755
504,6.5,4259.0,350.0,1.2092651438434878
505,7.0,4587.0,350.0,1.226087017206316
506,7.5,4915.0,350.0,1.2383145103598068
507,10.0,6553.0,350.0,1.3112616965312478
508,12.5,8191.0,350.0,1.3856498066762053
509,15.0,9830.0,350.0,1.451319010741262
510,17.5,11468.0,350.0,1.5217229993004728
511,20.0,13106.0,350.0,1.592920772084082
512,22.5,14745.0,350.0,1.6701117677663075
513,25.0,16383.0,350.0,1.7395631672548046
514,27.5,18021.0,350.0,1.806875781472786
515,30.0,19660.0,350.0,1.882768577537101
516,32.5,21298.0,350.0,1.9563107418658299
517,35.0,22936.0,350.0,2.026134072704802
518,37.5,24575.0,350.0,2.092298731889954
519,40.0,26213.0,350.0,2.168527618210925
520,42.5,27851.0,350.0,2.238977208161788
521,45.0,29490.0,350.0,2.3075482607842543
522,47.5,31128.0,350.0,2.3830796058179646
523,50.0,32767.0,350.0,2.4505202239423
524,52.5,34405.0,350.0,2.519953462876566
525,55.0,36043.0,350.0,2.5969637330434865
526,57.5,37682.0,350.0,2.667194596319261
527,60.0,39320.0,350.0,2.7369358446531558
528,62.5,40958.0,350.0,2.804355502137689
529,65.0,42597.0,350.0,2.875055739737556
530,65.5,42924.0,350.0,2.8841401769725583
531,66.0,43252.0,350.0,2.8990411117129926
532,66.5,43580.0,350.0,2.912669767626553
533,67.0,43907.0,350.0,2.9227185542911887
534,67.5,44235.0,350.0,2.9330181486098
535,68.0,44563.0,350.0,2.9426189216021106
536,68.5,44890.0,350.0,2.950673647412805
537,69.0,45218.0,350.0,2.9591407858093293
538,69.5,45546.0,350.0,2.9655136202928216
539,70.0,45873.0,350.0,2.971318597446653
540,70.5,46201.0,350.0,2.9773999830357756
541,71.0,46529.0,350.0,2.9824835781747963
542,71.5,46856.0,350.0,2.988613685250711
543,72.0,47184.0,350.0,2.9926088471733547
544,72.5,47512.0,350.0,2.9971382654001704
545,73.0,47839.0,350.0,3.0009035803084885
546,73.5,48167.0,350.0,3.003879511126682
547,74.0,48495.0,350.0,3.0066923169666664
548,74.5,48822.0,350.0,3.00892622514014
549,75.0,49150.0,350.0,3.0107143597096746
550,75.5,49478.0,350.0,3.0123530497185165
551,76.0,49805.0,350.0,3.0134098819704946
552,76.5,50133.0,350.0,3.014340630374658
553,77.0,50461.0,350.0,3.0148503259293817
554,77.5,50788.0,350.0,3.0151180941010076
555,78.0,51116.0,350.0,3.0152326575972057
556,78.5,51444.0,350.0,3.015261298471269
557,79.0,51771.0,350.0,3.015266818639737
558,79.5,52099.0,350.0,3.015241537868248
559,80.0,52427.0,350.0,3.0152098569014494
560,82.5,54065.0,350.0,3.015298019591895
561,85.0,55703.0,350.0,3.015263698544518
562,87.5,57342.0,350.0,3.0152388177852263
563,90.0,58980.0,350.0,3.0151970565108255
564,92.5,60618.0,350.0,3.0151134539595454
565,95.0,62257.0,350.0,3.015113693966851
566,97.5,63895.0,350.0,3.015098013488347
567,100.0,65534.0,350.0,3.015095773419991
568,0.0,0.0,375.0,0.16353643073580107
569,0.05,32.0,375.0,0.16385916058473393
570,0.1,65.0,375.0,0.1640002048890635
571,0.15,98.0,375.0,0.16350410974944193
572,0.2,131.0,375.0,0.16356563162694088
573,0.21,137.0,375.0,0.16334458488112905
574,0.22,144.0,375.0,0.16300945465376712
575,0.23,150.0,375.0,0.16320346057435764
576,0.24,157.0,375.0,0.163349785039827
577,0.25,163.0,375.0,0.16351259000824014
578,0.26,170.0,375.0,0.16385084033081923
579,0.27,176.0,375.0,0.1670545380999174
580,0.28,183.0,375.0,0.1669314943449205
581,0.29,190.0,375.0,0.16678356983062276
582,0.3,196.0,375.0,0.1857740693746761
583,0.31,203.0,375.0,0.1856605459102146
584,0.32,209.0,375.0,0.20720096327158383
585,0.33,216.0,375.0,0.20682391176488527
586,0.34,222.0,375.0,0.20735536798364232
587,0.35,229.0,375.0,0.23860200155522168
588,0.36,235.0,375.0,0.23898897336466646
589,0.37,242.0,375.0,0.2776262324802391
590,0.38,249.0,375.0,0.2786900249446112
591,0.39,255.0,375.0,0.30755282576738857
592,0.4,262.0,375.0,0.3104895553892627
593,0.41,268.0,375.0,0.3106338797936969
